country,total_cases,total_deaths,total_recovered,active_cases,total_tests_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,population,country_id,_id
Sweden,2632091,21095,2596044,14952,257569,2064,19155093,1874464,10218971,39,6390cb5c15cbcb0402af956a
Iraq,2464375,25366,2437963,1046,58446,602,19448292,461243,42164965,40,6390cb5c15cbcb0402af956b
Serbia,2426848,17418,2399353,10077,280463,2013,11672548,1348957,8653016,41,6390cb5c15cbcb0402af956c
Hong Kong,2189417,10864,1912284,266269,287918,1429,70602097,9284498,7604299,42,6390cb5c15cbcb0402af956d
Singapore,2174989,1706,2099889,73394,365941,287,24622510,4142731,5943546,43,6390cb5c15cbcb0402af956e
Hungary,2171056,48337,2109635,13084,226004,5032,11394556,1186160,9606259,44,6390cb5c15cbcb0402af956f
Bangladesh,2036717,29436,1986280,21001,12132,175,15101194,89949,167885689,45,6390cb5c15cbcb0402af9570
New Zealand,1979614,3337,1942897,33380,404151,681,7544063,1540170,4898203,46,6390cb5c15cbcb0402af9571
Slovakia,1856699,20747,1834459,1493,340043,3800,7359273,1347805,5460193,47,6390cb5c15cbcb0402af9572
Georgia,1806918,16882,1776548,13488,455288,4254,16920079,4263340,3968738,48,6390cb5c15cbcb0402af9573
Jordan,1746997,14122,1731007,1868,169597,1371,17201885,1669945,10300869,49,6390cb5c15cbcb0402af9574
Ireland,1680548,8159,1667043,5346,334757,1625,12859011,2561454,5020199,50,6390cb5c15cbcb0402af9575
Pakistan,1575383,30634,1538689,6060,6865,133,30570862,133213,229488994,51,6390cb5c15cbcb0402af9576
Norway,1469983,4325,1463130,2528,266718,785,11002430,1996315,5511370,52,6390cb5c15cbcb0402af9577
Finland,1405255,7448,1372645,25162,252973,1341,11825322,2128786,5554960,53,6390cb5c15cbcb0402af9578
Kazakhstan,1397842,13693,1382292,1857,72785,713,11575012,602707,19205043,54,6390cb5c15cbcb0402af9579
Bulgaria,1288196,38053,1245714,4429,188206,5560,10837607,1583381,6844597,55,6390cb5c15cbcb0402af957a
Lithuania,1279048,9442,1263150,6456,480537,3547,10270320,3858545,2661708,56,6390cb5c15cbcb0402af957b
Morocco,1269570,16286,1252212,1072,33611,431,12774407,338191,37772756,57,6390cb5c15cbcb0402af957c
Slovenia,1269016,6944,1242639,19433,610681,3342,2789570,1342408,2078034,58,6390cb5c15cbcb0402af957d
Croatia,1255643,17371,1235760,2512,309326,4279,5375756,1324311,4059286,59,6390cb5c15cbcb0402af957e
Lebanon,1220800,10740,1087587,122473,182622,1607,4795578,717380,6684849,60,6390cb5c15cbcb0402af957f
Guatemala,1161983,19958,1133955,8070,62526,1074,6357043,342070,18584039,61,6390cb5c15cbcb0402af9580
Costa Rica,1148914,9046,860711,279157,221697,1746,4659757,899158,5182354,62,6390cb5c15cbcb0402af9581
Bolivia,1112997,22251,1078596,12150,92807,1855,2705422,225590,11992656,63,6390cb5c15cbcb0402af9582
